"","Country.or.region","Overall.rank","Score","GDP.per.capita","Social.support","Healthy.life.expectancy","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","College.Count","mean_overall_rank <- mean(scores_overall_rank)","mean_scores_teaching_rank <- mean(scores_teaching_rank)","mean.scores.research <- mean(scores_research)","mean_scores_research_rank <- mean(scores_research_rank)","mean_scores_citation_rank <- mean(scores_citations_rank)","mean_industry_income <- mean(scores_industry_income)","mean_international_outcome_rank <- mean(scores_international_outlook_rank)","Has.Top.College","College.Ranking.Happiness.Ranking.Ratio","College.Ranking.to.GDP","College.Ranking.to.SocialSupport","College.Ranking.to.life","College.Ranking.to.freedom","College.Ranking.to.generosity","College.Ranking.to.corruption","Research.to.GDP","Research.to.Social","Research.to.Life","Research.to.Freedom","Research.to.Generosity","Research.to.Corruption"
"50","Ecuador",50,6.028,0.912,1.312,0.868,0.498,0.126,0.087,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","Kuwait",51,6.021,1.5,1.319,0.808,0.493,0.142,0.097,1,9050,974,9.4,1088,895,36.9,234,TRUE,1503.07257930576,6033.33333333333,6861.25852918878,11200.495049505,18356.9979716024,63732.3943661972,93298.9690721649,6.26666666666667,7.12661106899166,11.6336633663366,19.0669371196755,66.1971830985916,96.9072164948454
"52","Thailand",52,6.008,1.05,1.409,0.828,0.557,0.359,0.028,14,10444.2857142857,939.714285714286,12.5071428571429,931.285714285714,1028.14285714286,51.6,882.428571428571,TRUE,1738.39642381586,9946.9387755102,7412.55196187772,12613.8716356108,18750.9617850731,29092.7178670911,373010.204081633,11.9115646258503,8.8766095508466,15.1052449965493,22.4544755065401,34.8388380421807,446.683673469388
"53","Latvia",53,5.94,1.187,1.465,0.812,0.264,0.075,0.064,2,9290,1018.5,13.35,856,876.5,43.45,718.5,TRUE,1563.97306397306,7826.45324347093,6341.29692832764,11440.8866995074,35189.3939393939,123866.666666667,145156.25,11.2468407750632,9.11262798634812,16.4408866995074,50.5681818181818,178,208.59375
"54","South Korea",54,5.895,1.301,1.219,1.036,0.159,0.175,0.056,29,6357.93103448276,522.448275862069,30.9793103448276,424.620689655172,728.241379310345,60.5931034482759,773.758620689655,TRUE,1078.52943757129,4886.95698269236,5215.69403977257,6136.99906803355,39986.9876382563,36331.0344827586,113534.482758621,23.8119218638183,25.4137082402195,29.902809213154,194.838429841683,177.024630541872,553.20197044335
"55","Estonia",55,5.893,1.237,1.528,0.874,0.495,0.103,0.161,2,5580,812.5,20.3,599,477.5,41.15,426.5,TRUE,946.886136093671,4510.9135004042,3651.83246073298,6384.43935926773,11272.7272727273,54174.7572815534,34658.3850931677,16.410670978173,13.2853403141361,23.2265446224256,41.010101010101,197.087378640777,126.086956521739
"56","Jamaica",56,5.89,0.831,1.478,0.831,0.49,0.107,0.028,1,5980,1091,8.7,1151,370,34,291,TRUE,1015.28013582343,7196.14921780987,4046.00811907984,7196.14921780987,12204.0816326531,55887.8504672897,213571.428571429,10.4693140794224,5.88633288227334,10.4693140794224,17.7551020408163,81.3084112149533,310.714285714286
"57","Mauritius",57,5.888,1.12,1.402,0.798,0.498,0.215,0.06,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","Japan",58,5.886,1.327,1.419,1.088,0.445,0.069,0.14,103,9420.77669902913,730.31067961165,16.0533980582524,855.398058252427,941.359223300971,43.1640776699029,1014.50485436893,TRUE,1600.53970421834,7099.30421931358,6639.02515787817,8658.80211307824,21170.2847169194,136532.995638103,67291.2621359223,12.0975117243801,11.3131769261821,14.7549614505997,36.0750518162976,232.657942873224,114.667128987517
"59","Honduras",59,5.86,0.642,1.236,0.828,0.507,0.246,0.078,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
